S. No.,Text,LABEL
1,for nearly 20 years bagram airfield was the heart of american military power in afghanistan its imminent after nearly 20 years usa to leave bagram,0
2,taliban overrun afghan base capture troops as usa our hashtag 2020 fwn freeworldnews today,0
3,kabul on high alert as usa extends deadline for removing troops from afghanistan bobryze worldnews,0
4,usa and nato start to formally withdraw troops from afghanistan,0
5,china blames abruptã¢ââ usa withdrawal for violence in afghanistan,0
6,afghanistan 255 killed and over 500 injured in 200 blasts and 15 suicide attacks amidst ramzan via,0
7,15 suicide attacks 255 civilians killed in afghanistan duringã¢ ramzan,0
8,pakistan bans inbound pedestrian movt from afghanistan iran,0
9,afghanistans last jew plans to leave amid fears of taliban return latestnews news afghanistan afg,0
10,overnight defense top general drops objection to a major change in prosecuting military sexual assault supreme court declines to take up a case from former west point cadet jusatice pentagon says small attacks not affecting afghanistan withdrawal,0
11,taliban seize district on outskirts of kabul,0
12,taliban continue to capture territory as usa forces leave afghanistan,0
13,usa contractors in afghanistan are hiring amid withdrawal the department of defense currently employs more than 16000 contractors in afghanistan of whom 6147 are usa citizens ã¢ââ more than double the remaining usa troops ã¢ââ¦scottadamssaysã¢ââ©,0
14,25 taliban militants killed 10 injured following clashes with security forces in baghlanemarkazi baghlan afghanistan terrorism insurgency,0
15,usa military continues afghanistan withdrawal undeterred by brood x cicada uprising,0
16,the ttp and alqaeda leadership have sworn allegiance to afghantaliban leader mullah haibatullah akhundzada both groups have close ideological and organizational ties with their afghan ally,0
17,afghanistan flag for afghanistan headline afghanistan times parliament wants usa to assess afghanistan situation prewithdrawal,0
18,bomb explosion today 700 pm on baghlan jadid police hq after heavy fighting between government taliban while shahre kohna area is now under control of taliban since 2 weeks,0
19,85 dead in afghanistan with a large number of childrengirls and targeted because they were shia,0
20,at least 85 people were found dead and 147 people injured,0
21,taliban insurgents capture a key district just outside the afghan capital kabul in central wardak province forcing government forces to retreat say security officials,0
22,allies leaving rapidly as nato ends afghanistan trainingã¢ mission,0
23,new video message from the islamic emirate of afghanistan ã¢ââ150 troops detained maidan wardak releasedã¢ââ,0
24,seven civilians killed in mortar attack in faryab ariananews afghanistan faryab taliban mortar,0
25,afghan moi claimed andsf destroyed two drug factories in sof operations in bakwa farah afghanistan,0
26,taliban warns nearby nations against hosting usa military after withdrawal reuters,0
27,small orange diamond taliban warns neighboring countries against hosting usa troops says it be great historic mistake small orange diamond the group says they will not remain silent small orange diamond warning warning comes after usa said they in talks with afghan neighbors for basing usa troops,0
28,pakistan strongly condemns attacks at a school in kabul afghanistan,0
29,taliban in shahagha district of kandahar province afghanistan via,0
30,usa central command said in a statement this week that it has completed between 1320 of the withdrawal from afghanistan and without any major taliban attacks,0
31,meanwhile two security force bases fell to the taliban in the shahrekohna area of baghlanemarkzai district in baghlan province in afghanistan on wednesday night cve,0
32,removal of all contractors from afghanistan underway pentagon chief,0
33,on afghanistan chairman gen mark milley said the equivalent of 60 c17 loads of equipment have been flown out of the country so far and another 1300 pieces of equipment turned over to the afghan forces or to the defense logistics agency for destruction,0
34,children among at least 55 killed in afghanistan school bomb attack,0
35,afg today in logar province only taliban killed abdul manan sayedi head of economy department of logar taliban killed a manager of afg bank taliban killed 4 nds officersandinjured another after their car was stopped in a taliban checkpoint on kabulpaktia highway pixsm,0
36,afghan taliban declares threeday ceasefire for eid celebration this week spokesman,0
37,2 afghan soldiers 17 taliban militants killed in clashes,0
38,americas shadow army is leaving afghanistan too,0
39,kabul afghanistan ap ã¢ââ afghan police say bombing hits mosque in northern kabul at least 4 worshipers killed,0
40,taliban and afghan government negotiators meet in doha the express tribune via,0
41,formation of supreme state council nearly complete sources afghanistan,0
42,hamas firing rockets until ceasefire is still on the table afghanistan security,0
43,taliban maintains close ties with al qaeda dia reports fdds long war journal,0
44,bomb hits university bus in afghanistan killing 4 via,0
45,a mortar bomb fired by the taliban struck a wedding ceremony in a province north of the afghan capital killing at least six people including women and children officials confirm,0
46,a wave of afghan surrenders to the taliban picks up speed,0
47,taliban launches huge offensive in afghanistans helmand province,0
48,everlying trump was the only usa president to publicly tell american people the naked truth about pakistani states central duplicitous role in americas endless afghan war when he tweetedã¢ on jan 1 2018 that the united states has foolishly given,0
49,protest was carried out today in washington dc demanding the us tostop funding terror sponsoring states and asked paksitan to stop supporting the proxy war in afghanistan,0
50,pakistan has allowed the usa military to have overflight and access to be able to support its presence in afghanistan a top pentagon official has told lawmakers,0
51,mfa spox zakharova we call on opposing sides in afghanistan to reduce combat activity in the interests of countryã¢ââs prosperity and future of its statehood and use the time remaining until full withdrawal of foreign troops to start talks on key issues of national reconciliation,0
52,fighting continues as taliban advance in jalrez of maidan wardak,0
53,formal start of final phase of afghan pullout by usa nato the final phase of ending americas forever war in afghanistan after 20 years formally began saturday with the withdrawal of the last usa and nato troops by the end of sã¢ââ¦,0
54,security forces in afghanistan are on high alert for any attempted attacks on retreating usa and nato troops bbc news,0
55,u s and nato at large formally withdraw troops from afghanistan source bbc newslumbasio holman,0
56,usa nato troops leaving afghanistan as fighting escalates,0
57,afghan blast on eve of usa pullout deadline kills at least 21,0
58,pakistan usa russia china ask taliban to ensure afghan soil not used for terror attacks the news international via,0
59,taliban issues attack warning as may 1 deadline for usa troop removal passes,0
60,bbc news afghanistan war kabul mosque blast shatters calm for eid,0
61,afghanistan war kabul mosque blast shatters calm for eid,0
62,afghan ceasefire ends amid calls for fresh talks with taliban afghanistan ceasefire taliban isis military,0
63,afghanistan 200 bomb blasts 255 killed and 500 injured during ramazan the taliban carried out 15 suicide bombings and 200 blasts in afghanistan during holy the month of ramzan a total of 255 civilians were killed and more than 500 injured,0
64,death toll rises to 68 in afghanistan girls school bomb attack,0
65,bomb attacks targeting afghanistan school kill 68,0
66,death toll rises to 85 in afghanistan girls school bomb attack bobryze worldnews,0
67,wam uae sends plane carrying 37 metric tonnes of food supplies to afghanistan afghanistan afg uae foodassistance,0
68,taliban and afghan forces declare eid holiday ceasefire as violenceã¢ soars,0
69,afghanistan taliban declares threeday eid ceasefire al jazeera english via,0
70,australia will close its embassy in kabul afghanistan,0
71,australia to shut embassy in afghanistanã¢ââs kabul as usa troops withdraw news latestnews afghanistan,0
72,nato chief jens stoltenberg at a press conference with estonia pm kaja kallas said ã¢âânato remains committed to our partnership with afghanistanã¢ââ nato,0
73,qari jabir a key commander of taliban insurgents killed and a senior member of taliban insurgents wounded in a clash with andsf in kata qishlaq village khwaja sabz posh district of faryab province last night said,0
74,afghanistan 50 taliban killed in clash with afghan forces,0
75,afp war crimes taskforce boss believed to have left shortly after being appointed afghanistan warcrimes auspol,0
76,hundreds of families have been forced to relocate due to recent fighting in helmand afghanistan,0
77,afghanistan roaring tanker fire kills 7 injures 14 in kabul blaze tears through dozens of fuel tankers destroys homes and knocks out electricity to much of the capital,0
78,8 ana soldier killed 15 captured by taliban in baghlan,0
79,eyes usa fa18 hornets are continously being reported from western pakistan are just routine air support being provided by usas dwight d eisenhower to usa troops withdrawing from afghanistan usas dwight d eisenhower is currently in the arabian sea courtesy of aquila,0
80,cia head said to have made an unannounced trip to afghanistan last week afghanistan,0
81,roots of the alqaeda network still alive in afghanistan afghanã¢ government,0
82,a highprofile afghan television journalist was shot dead in kandahar city on thursday officials said a day after the taliban warned the media against ã¢ââbiased reportingã¢ââ,0
83,reminder taliban terrorists destroys bridges on the order of their pakistani masters because in their view ã¢ââbridges are infidelsã¢ââ helmandmassacre,0
84,usa deploys extra warplanes to protect its troops withdrawing from afghanistan,0
85,taliban have captured afghanistan secondbiggest dam taliban,0
86,security forces lose control of farahã¢ââs lash wa juwayn district reporterly afghanistan,0
87,taliban attacks security outpost in balkhã¢ââs shulgara district reporterly afghanistan,0
88,the taliban are besieging a key afghan city ahead of the planned exit of usa troops,0
89,highlevel security council session on afghanistan now underway detention and torture of children for alleged involvement with armed groups needs to be addressed new research from,0
90,afghanistanã¢ââs fm accused d taliban of carrying out its worst violence in d past two decades and urged d international community to try to persuade the taliban to honor a february2020agreement with the unitedstates afghanpeaceprocess,0
91,image copyright the united states announces that its forces will leave afghanistan by september 11 nearly 20 years after invading the country and overthrowing the taliban british chief of defense g,0
92,taliban gains afghan territory may seek complete return to powerã¢ââ amid usa withdrawal our hashtag 2020 fwn freeworldnews today,0
93,elite afghan forces suffer horrific casualties as taliban advance,0
94,breaking indian embassy issues advisory for all indians in afghanistan says situation is dangerous afghanistan india gulistannews,0
95,yet more dramatic quantities of ghanimah war booty captured by the taliban after a large attack near the dand wapatan district of paktia province afghanistan taliban afghans breakingnews,0
96,german troops arrive home from afghanistan,0
97,063021 afghanistan taliban taliban continued to smuggle military weapons and tanks through zabul province to pakistan according to un report pakistanbased jihadi groups such as jaishimohammed jem and lashkaretayyiba let12,0
98,top usa general warns of civil war as usa forces prepare to withdraw civilians take up arms against taliban is afghanistan on brink of civil war full report with at 7pm ist live tv,0
99,most european troops exit afghanistan quietly after 20 years,0
100,as the usa prepares to fully withdraw troops from afghanistan and concerns rise about taliban offenses that could demolish afghan women rights usaaid administrator samantha power met with the chairperson for the afghanistan independent human rights commission,0
101,german troops fly home from afghanistan leaving instability behind june 30 2021 usa news,0
102,indian nationals face a serious threat of abduction indian embassy in afghanistan issues warning,0
